Date,Open,High,Low,Close,Adj Close,Volume
2007-01-11,100.000000,100.000000,99.919998,99.919998,78.206314,1100
2007-01-12,99.879997,99.930000,99.849998,99.930000,78.214096,1500
2007-01-16,99.830002,99.830002,99.830002,99.830002,78.135895,600
2007-01-17,99.940002,99.940002,99.809998,99.820000,78.128036,700
2007-01-18,99.839996,99.910004,99.839996,99.910004,78.198479,6200
2007-01-19,99.860001,99.860001,99.779999,99.800003,78.112381,2000
2007-01-22,99.900002,99.900002,99.849998,99.849998,78.151535,1200
2007-01-23,99.750000,99.750000,99.709999,99.709999,78.041931,1200
2007-01-24,99.750000,99.750000,99.750000,99.750000,78.073227,1300
2007-01-25,99.660004,99.660004,99.550003,99.550003,77.916740,2100
2007-01-26,99.529999,99.559998,99.480003,99.559998,77.924545,1200
2007-01-29,99.599998,99.610001,99.500000,99.529999,77.901085,3100
2007-01-30,99.610001,99.610001,99.580002,99.580002,77.940170,400
2007-01-31,99.669998,99.839996,99.669998,99.839996,78.143669,3600
2007-02-01,99.739998,99.739998,99.519997,99.529999,78.094231,1600
2007-02-02,99.550003,99.660004,99.550003,99.580002,78.133484,6800
2007-02-05,99.709999,99.709999,99.709999,99.709999,78.235512,7100
2007-02-06,99.669998,99.879997,99.669998,99.879997,78.368889,6600
2007-02-07,99.949997,99.989998,99.940002,99.989998,78.455177,2200
2007-02-08,99.970001,100.029999,99.949997,100.029999,78.486603,7500
2007-02-09,99.809998,99.809998,99.809998,99.809998,78.313965,2000
2007-02-12,99.800003,99.860001,99.709999,99.730003,78.251198,5000
2007-02-13,99.800003,99.800003,99.690002,99.690002,78.219818,1900
2007-02-14,99.889999,100.129997,99.889999,100.120003,78.557198,16600
2007-02-15,100.239998,100.300003,100.220001,100.269997,78.674858,9900
2007-02-16,100.290001,100.290001,100.260002,100.279999,78.682762,16300
2007-02-20,100.239998,100.320000,100.239998,100.269997,78.674858,5400
2007-02-21,100.300003,100.360001,100.300003,100.360001,78.745506,1900
2007-02-22,100.209999,100.209999,100.209999,100.209999,78.627747,200
2007-02-23,100.230003,100.470001,100.230003,100.419998,78.792572,13300
2007-02-26,100.550003,100.620003,100.540001,100.589996,78.925987,1400
2007-02-27,100.830002,101.269997,100.830002,101.199997,79.404633,12300
2007-02-28,101.199997,101.199997,100.970001,101.019997,79.263344,126000
2007-03-01,100.820000,100.949997,100.680000,100.680000,79.278328,48700
2007-03-02,100.919998,100.959999,100.839996,100.959999,79.498810,13600
2007-03-05,101.099998,101.110001,100.959999,100.989998,79.522385,8500
2007-03-06,100.849998,101.010002,100.800003,100.889999,79.443657,10200
2007-03-07,100.900002,101.029999,100.900002,101.029999,79.553917,4600
2007-03-08,100.980003,101.050003,100.970001,101.050003,79.569664,3500
2007-03-09,100.620003,100.730003,100.620003,100.690002,79.286163,8400
2007-03-12,100.769997,100.900002,100.769997,100.870003,79.428001,8300
2007-03-13,101.089996,101.269997,101.050003,101.180000,79.672028,25200
2007-03-14,101.199997,101.300003,101.139999,101.160004,79.656273,5000
2007-03-15,101.129997,101.129997,101.050003,101.059998,79.577530,20500
2007-03-16,101.000000,101.099998,101.000000,101.080002,79.593254,9500
2007-03-19,100.900002,100.970001,100.889999,100.910004,79.459442,2000
2007-03-20,101.099998,101.110001,101.059998,101.070000,79.585457,10100
2007-03-21,101.070000,101.360001,100.989998,101.269997,79.742950,28000
2007-03-22,101.199997,101.199997,101.050003,101.080002,79.593254,4300
2007-03-23,101.180000,101.180000,100.980003,100.980003,79.514595,17400
2007-03-26,100.959999,101.250000,100.959999,101.110001,79.616867,8200
2007-03-27,101.059998,101.099998,101.029999,101.089996,79.601166,31500
2007-03-28,101.230003,101.300003,101.120003,101.120003,79.624763,2100
2007-03-29,101.000000,101.070000,101.000000,101.010002,79.538155,7100
2007-03-30,101.050003,101.150002,100.839996,101.000000,79.530304,27600
2007-04-02,100.730003,100.730003,100.540001,100.639999,79.533455,25100
2007-04-03,100.510002,100.660004,100.510002,100.550003,79.462311,8200
2007-04-04,100.779999,100.830002,100.589996,100.790001,79.652023,19400
2007-04-05,100.739998,100.739998,100.550003,100.620003,79.517632,3300
2007-04-09,100.099998,100.239998,100.099998,100.220001,79.201561,6900
2007-04-10,100.389999,100.389999,100.330002,100.349998,79.304291,5500
2007-04-11,100.459999,100.489998,100.279999,100.339996,79.296356,4800
2007-04-12,100.330002,100.370003,100.300003,100.320000,79.280563,3500
2007-04-13,100.339996,100.339996,100.129997,100.209999,79.193588,15200
2007-04-16,100.250000,100.330002,100.230003,100.279999,79.248962,3100
2007-04-17,100.449997,100.599998,100.449997,100.599998,79.501808,2200
2007-04-18,100.699997,100.769997,100.699997,100.750000,79.620377,6300
2007-04-19,100.849998,100.849998,100.650002,100.750000,79.620377,2800
2007-04-20,100.650002,100.750000,100.650002,100.720001,79.596703,3500
2007-04-23,100.709999,100.879997,100.709999,100.860001,79.707268,1900
2007-04-24,101.050003,101.050003,101.019997,101.029999,79.841667,1300
2007-04-25,100.940002,101.029999,100.910004,100.919998,79.754730,7100
2007-04-26,100.889999,100.889999,100.760002,100.760002,79.628296,6900
2007-04-27,100.769997,100.769997,100.699997,100.760002,79.628296,1700
2007-04-30,100.930000,101.059998,100.919998,101.059998,79.865356,8800
2007-05-01,100.779999,100.779999,100.550003,100.629997,79.819344,7600
2007-05-02,100.620003,100.620003,100.529999,100.589996,79.787628,28400
2007-05-03,100.489998,100.500000,100.389999,100.500000,79.716301,12900
2007-05-04,100.650002,100.669998,100.599998,100.650002,79.835258,64900
2007-05-07,100.519997,100.690002,100.519997,100.690002,79.866928,1500
2007-05-08,100.699997,100.760002,100.680000,100.709999,79.882835,8800
2007-05-09,100.699997,100.739998,100.470001,100.550003,79.755943,10300
2007-05-10,100.570000,100.650002,100.570000,100.650002,79.835258,12200
2007-05-11,100.830002,100.830002,100.580002,100.580002,79.779709,1400
