,Range,Entry,Exit,Sharpe,Alpha
0,14.0,1.4,0.4,0.39853648098407113,-0.6584460024885219
1,14.0,1.4,0.5,0.44580062416754906,-0.6025350224885223
2,14.0,1.4,0.6,0.3824018214153771,-0.47724228248852185
3,14.0,1.5,0.4,0.027366222813149352,-0.629312822488522
4,14.0,1.5,0.5,0.09495601721214542,-0.5975267024885212
5,14.0,1.5,0.6,0.14211444261925454,-0.46367702248852205
6,14.0,1.6,0.4,0.1868544324676982,-0.6809535024885216
7,14.0,1.6,0.5,0.10684206024610411,-0.5752777024885221
8,14.0,1.6,0.6,0.154166312415806,-0.44142802248852164
9,15.0,1.4,0.4,0.39853648098407113,-0.6584460024885219
10,15.0,1.4,0.5,0.44580062416754906,-0.6025350224885223
11,15.0,1.4,0.6,0.3824018214153771,-0.47724228248852185
12,15.0,1.5,0.4,0.027366222813149352,-0.629312822488522
13,15.0,1.5,0.5,0.09495601721214542,-0.5975267024885212
14,15.0,1.5,0.6,0.14211444261925454,-0.46367702248852205
15,15.0,1.6,0.4,0.1868544324676982,-0.6809535024885216
16,15.0,1.6,0.5,0.10684206024610411,-0.5752777024885221
17,15.0,1.6,0.6,0.154166312415806,-0.44142802248852164
18,16.0,1.4,0.4,0.39853648098407113,-0.6584460024885219
19,16.0,1.4,0.5,0.44580062416754906,-0.6025350224885223
20,16.0,1.4,0.6,0.3824018214153771,-0.47724228248852185
21,16.0,1.5,0.4,0.027366222813149352,-0.629312822488522
22,16.0,1.5,0.5,0.09495601721214542,-0.5975267024885212
23,16.0,1.5,0.6,0.14211444261925454,-0.46367702248852205
24,16.0,1.6,0.4,0.1868544324676982,-0.6809535024885216
25,16.0,1.6,0.5,0.10684206024610411,-0.5752777024885221
26,16.0,1.6,0.6,0.154166312415806,-0.44142802248852164
